code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
Antarctica/DumontDUrville,Link,UTC+10:00,UTC+10:00,+10,+10,false
Antarctica/Macquarie,Canonical,UTC+10:00,UTC+11:00,AEST,AEDT,true
Antarctica/Mawson,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Antarctica/McMurdo,Link,UTC+12:00,UTC+13:00,NZST,NZDT,false
Antarctica/Palmer,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
Antarctica/Rothera,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
Antarctica/South_Pole,Link,UTC+12:00,UTC+13:00,NZST,NZDT,true
Antarctica/Syowa,Link,UTC+03:00,UTC+03:00,+03,+03,false
Antarctica/Troll,Canonical,UTC+00:00,UTC+02:00,+00,+02,true
Antarctica/Vostok,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Arctic/Longyearbyen,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Asia/Aden,Link,UTC+03:00,UTC+03:00,+03,+03,false
Asia/Almaty,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Amman,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Anadyr,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Asia/Aqtau,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Aqtobe,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Ashgabat,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Ashkhabad,Link,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Atyrau,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Baghdad,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Bahrain,Link,UTC+03:00,UTC+03:00,+03,+03,false
Asia/Baku,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Asia/Bangkok,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Barnaul,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Beirut,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Asia/Bishkek,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Asia/Brunei,Link,UTC+08:00,UTC+08:00,+08,+08,false
Asia/Calcutta,Link,UTC+05:30,UTC+05:30,IST,IST,true
Asia/Chita,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Asia/Choibalsan,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Asia/Chongqing,Link,UTC+08:00,UTC+08:00,CST,CST,false
Asia/Chungking,Link,UTC+08:00,UTC+08:00,CST,CST,true
Asia/Colombo,Canonical,UTC+05:30,UTC+05:30,+0530,+0530,true
Asia/Dacca,Link,UTC+06:00,UTC+06:00,BST,BST,true
Asia/Damascus,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Dhaka,Canonical,UTC+06:00,UTC+06:00,BST,BST,true
Asia/Dili,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Asia/Dubai,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Asia/Dushanbe,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Asia/Famagusta,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Asia/Gaza,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Asia/Harbin,Link,UTC+08:00,UTC+08:00,CST,CST,false
Asia/Hebron,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Asia/Ho_Chi_Minh,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Hong_Kong,Canonical,UTC+08:00,UTC+08:00,HKT,HKT,true
Asia/Hovd,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Asia/Irkutsk,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Asia/Istanbul,Link,UTC+03:00,UTC+03:00,+03,+03,true
Asia/Jakarta,Canonical,UTC+07:00,UTC+07:00,WIB,WIB,true
Asia/Jayapura,Canonical,UTC+09:00,UTC+09:00,WIT,WIT,true
Asia/Jerusalem,Canonical,UTC+02:00,UTC+03:00,IST,IDT,true
Asia/Kabul,Canonical,UTC+04:30,UTC+04:30,+0430,+0430,true
Asia/Kamchatka,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
